dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
kdd_cup_2018/H/medium,DLinear-t,5657.867130627093,5641.255684685357,27.830794975602586,1.1471782611008527,1.005962694152747,0.6437072956113176,11.879556964583168,75.21879506231865,1.574465594681084,0.58254893774097,0.4848050263470861,Nature,1
kdd_cup_2018/H/long,DLinear-t,4296.153508592052,4277.962402083419,25.648424409058418,1.0947962408298137,0.9681974205404494,0.7019703380433565,10.478445128233242,65.54504945907091,1.5379516878969164,0.6018156662836853,0.4971577812299475,Nature,1
loop_seattle/H/short,DLinear-t,93.80628683260008,93.70649552237792,5.817060368122318,1.1749307731381256,0.17123807091060542,0.12956813965374173,11.070653137986085,9.685364568904987,0.17144080333469958,0.10296788473601926,0.08415431881541802,Transport,1
loop_seattle/H/medium,DLinear-t,72.48977199432404,72.30943708075336,4.994186177760578,1.024560784151453,0.12808261867401155,0.11356060551662071,11.470368594859572,8.514092552605007,0.15048562869196971,0.08827167923316707,0.0737836719067057,Transport,1
loop_seattle/H/long,DLinear-t,62.39076259889921,62.43725920192639,4.557925105349157,0.9507282455190759,0.13983413386599158,0.10612813334798009,11.203807281825359,7.8987823491282,0.14116181825685353,0.08145622539158345,0.06827965277052844,Transport,1
ett1/H/short,DLinear-t,115.99000186011905,116.44754464285714,5.461932663690476,0.9101211094223819,0.4703068324497768,0.27827344621930805,7.156160256629121,10.769865452275578,0.502673682002224,0.25493074310648806,0.2044151194636574,Energy,7
ett1/H/medium,DLinear-t,171.97025669642858,171.90396205357143,8.11935046968006,1.4579234582526703,4048773532200.422,0.48658846900576636,10.948794696785006,13.113743046759327,0.6281172059215239,0.38889764064527266,0.311268359395634,Energy,7
ett1/H/long,DLinear-t,187.50347222222223,186.23708664021163,8.137229249338624,1.4738067048653873,4499091163355.037,0.5150735522073413,11.119691046045114,13.693190724671231,0.6557372464124138,0.38967428473585186,0.317379376140004,Energy,7
ett1/D/short,DLinear-t,43976.47619047619,44048.20952380952,140.07645089285714,1.7774543023416214,0.9717087518601191,0.5143913147941468,12.28009111541278,209.70568945661964,0.5507989493665967,0.36791544465343506,0.2972419940788586,Energy,7
covid_deaths/D/short,DLinear-t,1911238.5122807017,1872393.2390977445,209.68941102756892,35.18014832353628,0.09564462527213598,0.3689059073464912,780.6644838695905,1382.4755015119442,0.5201631353433696,0.07889666136515072,0.06798562186598087,Healthcare,1
m4_quarterly/Q/short,DLinear-t,2401701.8386666668,2413678.6053333334,614.0931181640625,1.2394565791411476,0.13365446869532266,0.10785775860150655,10.162568834704354,1549.7425072142362,0.25939960517661614,0.10278837397302797,0.08254629252515734,Econ/Fin,1
ett2/15T/short,DLinear-t,10.638102213541666,10.622635323660715,2.1327613467261903,0.9216677139715477,0.13022507689398938,0.1548542022705078,7.599421413526128,3.261610371203413,0.15484024735603963,0.1012497683334991,0.08185042728794749,Energy,7
ett2/15T/medium,DLinear-t,11.48866691468254,11.461268601190476,2.1469546750992063,0.9109512581535033,0.1427456810741601,0.1700742691282242,7.229994302467716,3.3894936074113695,0.18063224976732933,0.1144151009058352,0.09163049545978685,Energy,7
ett2/15T/long,DLinear-t,13.440313740079365,13.415174851190477,2.387362816220238,0.9954216750911217,0.1544446317659314,0.18336067320808533,7.408412342172403,3.666103345526332,0.195373283411413,0.12722688591646944,0.10087656982471853,Energy,7
bizitobs_l2c/5T/short,DLinear-t,22.08959263392857,22.10390625,2.746570986793155,0.2809934583041553,0.15666320101833314,0.2122778029668899,3.1879251613853956,4.699956662984093,0.161415535795748,0.09432836496683542,0.0769106461998737,Web/CloudOps,7
bizitobs_l2c/5T/medium,DLinear-t,133.83105867346939,133.22267219387754,7.85598294005102,0.7515837494484687,0.5414652520027342,0.776714548123937,5.180603900812905,11.568537447467998,0.6086751924474796,0.41334022987895064,0.31755666517987435,Web/CloudOps,7
bizitobs_l2c/5T/long,DLinear-t,305.250496031746,304.3041865079365,12.146763392857142,1.1679368587977148,0.8784652661588588,0.9666089254712301,7.773867188741748,17.471419405181308,0.9809940797819989,0.6820226050650352,0.5371226142520052,Web/CloudOps,7
solar/10T/short,DLinear-t,53.4757094928528,53.1215202535736,4.022321536767222,1.7672020275253046,3.0741405249354505,1.6984577856504715,13.171871066971574,7.312708765762028,2.1272661880429986,1.1700928994552158,0.9452143364649027,Energy,1
solar/10T/medium,DLinear-t,21.9145646704269,22.020809140676842,2.0918437050707808,0.911992352862832,3.535788280318832,1.4684139808172705,6.697026638119582,4.681299463869717,1.038798942050913,0.4641884255717132,0.36149895398559506,Energy,1
solar/10T/long,DLinear-t,21.956920842203974,21.99575967533455,2.035511630043593,0.8883713219383935,3.300156252673042,1.4631764556563007,6.9037630101464735,4.685821255895702,1.012765301717792,0.43994327516385723,0.35100174043721877,Energy,1
temperature_rain/D/short,DLinear-t,177.53292283268516,177.3317466784855,6.446223881530657,1.582765451706138,80.55421757688876,1.44120204106966,25.5958683038233,13.324148109079438,1.5686045164064144,0.7588909858668993,0.6265485254129673,Nature,1
m4_hourly/H/short,DLinear-t,8111116.367149758,8350987.954911433,481.1524758454106,1.1344099318818102,0.23668794739457527,0.1936554716789012,10.515248085693173,2848.002171198217,0.3888151595151802,0.06568793329544717,0.04810127561776895,Econ/Fin,1
m4_daily/D/short,DLinear-t,565830.5593294805,572299.5092770963,178.85447268199331,3.2250483046935607,0.042742344126784675,0.03022040735491187,27.135776634525968,752.2170958769021,0.11619675284150935,0.027628073159652065,0.022157119119321698,Econ/Fin,1
ett2/H/short,DLinear-t,120.17505580357142,119.95879836309524,6.8618501209077385,0.7968061070366167,0.12694797581257453,0.11840059189569382,6.321808949513737,10.96243840591916,0.1390342209123686,0.08702735196785424,0.06998815014003062,Energy,7
ett2/H/medium,DLinear-t,284.2877418154762,284.63965773809525,10.650141834077381,1.1415175426061126,0.19259377875478856,0.18497192746117003,9.38420904738608,16.860834552757943,0.2272105883953725,0.14351751006411959,0.11487993439127774,Energy,7
ett2/H/long,DLinear-t,284.3806878306878,282.97718253968253,10.782155257936507,1.1939017102668672,0.2084843133896946,0.1957303970579117,10.195815951005066,16.863590597221215,0.2309338940510681,0.14765331769787943,0.12019279411121649,Energy,7
car_parts/M/short,DLinear-t,1.7289735386852123,1.7338704544661354,0.7570006440356384,1.3831677991201106,0.7415431573510063,1.8046277054945945,17.01217079828105,1.3149043838565648,3.1530058290182743,1.8152098909385952,1.4628152022161827,Sales,1
loop_seattle/5T/short,DLinear-t,74.92725697803793,74.86553545657573,5.263050689539797,0.8184611893828695,0.14237166425391987,0.10746184389411603,7.97837964786088,8.656053198660342,0.14843220238711716,0.09024970008783349,0.07361894768500699,Transport,1
loop_seattle/5T/medium,DLinear-t,114.89584623323013,115.16249080882353,6.676839021381579,1.0490363170748351,0.2278104954139859,0.14841478975687725,9.392411575683482,10.71894800030442,0.19071211322990517,0.11879468763421647,0.09581441266552963,Transport,1
loop_seattle/5T/long,DLinear-t,124.58655085425983,124.6645857699805,7.0334478736670105,1.1068547399576205,0.23105286617342477,0.15395597871024325,9.853035604946236,11.161834564902842,0.19734351882977053,0.12435279745675903,0.10003151580609598,Transport,1
loop_seattle/D/short,DLinear-t,19.27093008255934,19.280475199948402,3.095856109713622,0.9311825455056444,0.057619563713900444,0.057183252104295666,8.53816002660835,4.38986674997765,0.0784527877284564,0.05532708759655273,0.04506595861942776,Transport,1
sz_taxi/15T/short,DLinear-t,18.197553287641178,18.147460043211996,2.9121222117590526,0.5840107286053575,1062396984505.3928,0.42283612904531176,4.685808221000359,4.265859032790603,0.3988760638893418,0.27229588143031197,0.2156784647150557,Transport,1
sz_taxi/15T/medium,DLinear-t,19.304427083333334,19.244085536858975,3.0704049395699786,0.6022492414383999,9894591478211.61,0.47202654455462073,5.825097600997216,4.393680357437638,0.40890529439067375,0.28575242930180794,0.24211476641588703,Transport,1
sz_taxi/15T/long,DLinear-t,20.587640224358974,20.497569444444444,3.2159694399928775,0.611221072703204,4675375363772.755,0.5149713847711894,6.323561679233627,4.537360490897651,0.4199700045592044,0.29766440270406463,0.2580957840209646,Transport,1
m_dense/H/short,DLinear-t,127322.60444444444,127425.81333333334,167.90864149305557,1.3846918955381746,0.5400791709521651,0.36268040974934895,13.309054288954695,356.8229315002673,0.6329149659059656,0.29782808985698456,0.24332721720659153,Transport,1
m_dense/H/medium,DLinear-t,40385.21333333333,40354.484444444446,92.51401041666666,0.799249654008891,0.3256239493327991,0.24947435167100696,9.38252882403351,200.96072584794607,0.3496462742853346,0.16096269022165627,0.1344248320712952,Transport,1
m_dense/H/long,DLinear-t,46787.666172839505,46932.776296296295,107.97441358024692,0.9216909660008734,0.4313281153247779,0.32000033154899693,9.866680582381353,216.30456808130407,0.374455182978278,0.18691967142814245,0.15375500336133252,Transport,1
